n_m(RPM)  |  abs(z)  | angle(z) | abs(I_1) | pf    |  P_in    |  P_scl  |  abs(I_2)  |  P_rcl  |  P_conv  |  P_out  |  t_ind  |  eff
--------------------------------------------------------------------------------------------------------------------------------------
897.304   | 25.394   |83.8      |10.91     |0.107  |  973.335   |   89.321   |    1.086 |    0.884 |  883.130 |    0.130 |    4.690 |0.000 
898.204   | 25.035   |78.4      |11.07     |0.202  | 1856.454   |   91.899   |    2.169 |    3.529 | 1761.026 |  878.026 |    9.361 |0.473 
899.104   | 24.457   |73.1      |11.33     |0.291  | 2737.852   |   96.297   |    3.251 |    7.925 | 2633.630 | 1750.630 |   14.014 |0.639 
900.004   | 23.705   |68.1      |11.69     |0.372  | 3617.450   |  102.502   |    4.330 |   14.060 | 3500.889 | 2617.889 |   18.647 |0.724 
900.904   | 22.831   |63.5      |12.14     |0.445  | 4495.173   |  110.502   |    5.407 |   21.923 | 4362.748 | 3479.748 |   23.261 |0.774 
901.804   | 21.883   |59.3      |12.66     |0.510  | 5370.946   |  120.288   |    6.481 |   31.504 | 5219.155 | 4336.155 |   27.856 |0.807 
902.704   | 20.902   |55.5      |13.26     |0.567  | 6244.694   |  131.845   |    7.553 |   42.790 | 6070.059 | 5187.059 |   32.430 |0.831 
903.604   | 19.920   |52.0      |13.91     |0.615  | 7116.344   |  145.162   |    8.623 |   55.769 | 6915.413 | 6032.413 |   36.983 |0.848 
904.504   | 18.960   |48.9      |14.62     |0.657  | 7985.824   |  160.227   |    9.691 |   70.430 | 7755.167 | 6872.167 |   41.516 |0.861 
905.404   | 18.038   |46.1      |15.36     |0.693  | 8853.062   |  177.026   |   10.755 |   86.760 | 8589.276 | 7706.276 |   46.028 |0.870 
906.304   | 17.163   |43.6      |16.15     |0.724  | 9717.989   |  195.546   |   11.818 |  104.747 | 9417.696 | 8534.696 |   50.518 |0.878 
907.204   | 16.338   |41.4      |16.96     |0.750  |10580.535   |  215.775   |   12.878 |  124.377 |10240.383 | 9357.383 |   54.987 |0.884 
908.104   | 15.567   |39.4      |17.80     |0.773  |11440.632   |  237.698   |   13.935 |  145.638 |11057.295 |10174.295 |   59.433 |0.889 
909.004   | 14.847   |37.6      |18.67     |0.792  |12298.213   |  261.303   |   14.990 |  168.517 |11868.394 |10985.394 |   63.858 |0.893 
909.904   | 14.177   |36.0      |19.55     |0.809  |13153.213   |  286.574   |   16.042 |  193.000 |12673.639 |11790.639 |   68.260 |0.896 
910.804   | 13.555   |34.5      |20.45     |0.824  |14005.567   |  313.499   |   17.091 |  219.073 |13472.995 |12589.995 |   72.639 |0.899 
911.704   | 12.977   |33.2      |21.36     |0.837  |14855.212   |  342.063   |   18.137 |  246.724 |14266.425 |13383.425 |   76.995 |0.901 
912.604   | 12.439   |32.0      |22.28     |0.848  |15702.084   |  372.251   |   19.181 |  275.937 |15053.896 |14170.896 |   81.327 |0.902 
913.504   | 11.940   |31.0      |23.21     |0.857  |16546.122   |  404.048   |   20.222 |  306.699 |15835.374 |14952.374 |   85.636 |0.904 
914.404   | 11.475   |30.0      |24.15     |0.866  |17387.267   |  437.441   |   21.260 |  338.997 |16610.829 |15727.829 |   89.922 |0.905 
915.304   | 11.042   |29.1      |25.10     |0.873  |18225.459   |  472.414   |   22.295 |  372.814 |17380.231 |16497.231 |   94.183 |0.905 
916.204   | 10.638   |28.3      |26.05     |0.880  |19060.640   |  508.952   |   23.328 |  408.137 |18143.551 |17260.551 |   98.420 |0.906 
917.104   | 10.261   |27.6      |27.01     |0.886  |19892.754   |  547.039   |   24.357 |  444.951 |18900.764 |18017.764 |  102.632 |0.906 
918.004   |  9.909   |27.0      |27.97     |0.891  |20721.745   |  586.661   |   25.384 |  483.242 |19651.842 |18768.842 |  106.820 |0.906 
918.904   |  9.579   |26.4      |28.93     |0.896  |21547.558   |  627.802   |   26.407 |  522.994 |20396.763 |19513.763 |  110.983 |0.906 
919.804   |  9.269   |25.8      |29.90     |0.900  |22370.141   |  670.446   |   27.427 |  564.192 |21135.503 |20252.503 |  115.120 |0.905 
920.704   |  8.978   |25.4      |30.87     |0.904  |23189.440   |  714.577   |   28.445 |  606.821 |21868.042 |20985.042 |  119.233 |0.905 
921.604   |  8.705   |24.9      |31.84     |0.907  |24005.406   |  760.180   |   29.459 |  650.866 |22594.360 |21711.360 |  123.320 |0.904 
922.504   |  8.447   |24.5      |32.81     |0.910  |24817.988   |  807.238   |   30.470 |  696.312 |23314.438 |22431.438 |  127.381 |0.904 
923.404   |  8.204   |24.1      |33.78     |0.913  |25627.138   |  855.736   |   31.478 |  743.142 |24028.259 |23145.259 |  131.416 |0.903 
